NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
ExternalGraphic,1.27,3,0,1,8,3,3,2,1,3,12,2,0,115,0,0,5,7,0,11,0,0,14,0.22
AbstractGraphics,1.07,6,0,0,8,3,7,3,7,2,14,1,1010,216,4,0,21,21,2,29,0,0,31,0.22
ChangeBar,1.36,5,0,0.07,6,2,2,2.5,2,2,13,1,1000,176,0,0,7,7,2,14,0,0,19,0.22
PreprocessPresentationObject,1.83,0,0,0.5,4,0,0,2,0,3,5,0,0,117,0,0,11,3,0,6,0,0,11,0.22
ObjectClassificationTriplet,1.8,2,0,1,3,0,0,0,1,2,4,1,0,183,1,0,16,1,0,5,0,0,9,0.22
ListBlock,1.29,3,1,0,4,3,12,2.5,5,2,9,1,1000,151,0,0,11,12,0,17,0,0,22,0.2
Leader,1.72,3,0,1,6,3,6,2.5,2,4,9,1,1000,178,0,0,10,12,0,18,0,0,31,0.2
InlineLevel,1,3,0,0,3,3,7,2.5,6,3,8,1,1000,81,0,0,8,8,5,11,0,0,11,0.2
InitialPropertySet,1.14,1,0,0,3,0,0,2,2,2,3,1,0,72,0,0,2,4,0,7,0,0,8,0.2
PageSequenceWrapper,1.43,1,0,0,2,0,0,2,0,2,2,1,0,66,0,0,2,4,0,7,0,0,10,0.2
ImageDataDescriptor,1,0,0,1,3,1,1,0,0,4,3,0,0,67,0,0,4,1,0,3,0,0,3,0.2
ExtendedResourceLocalIdentifierTriplet,1,0,0,1,1,0,0,0,0,2,1,0,0,43,0,0,5,1,0,3,0,0,3,0.2
SimpleSVGUserAgent,1,0,0,1,0,0,0,2,0,1,0,0,0,111,0,0,4,8,3,11,0,0,11,0.2
PDFGraphicsDevice,1,0,0,1,0,0,0,2,0,1,0,0,0,64,0,0,1,4,0,6,0,0,6,0.2
PDFTextUtil,1.22,2,0,0.67,3,1,1,2,2,1,5,1,0,85,1,0,3,4,1,9,0,0.04,11,0.2
LocalBreaker,1.53,10,2,0.32,10,2,2,2.5,1,1,21,5,10,133,1,0,7,7,2,17,0,0.02,26,0.2
BestPageRecords,0.83,0,0,1,0,1,1,2,1,1,0,0,0,38,0,0,4,4,0,6,0,0,5,0.2
KnuthPageNode,1,0,0,1,0,1,1,2,1,1,0,0,0,45,1,0,6,0,0,2,4,1,2,0.2
Footnote,0.83,0,1,0,0,4,4,2,1,3,0,0,0,61,0,0,3,4,0,6,0,0,5,0.2
FODimension,1,0,0,1,0,0,0,2,0,0,0,0,0,36,0,0,2,2,0,4,2,0,4,0.2
LengthBase,2.12,2,0,1,6,2,2,2.5,2,0,9,2,1000,138,3,0,17,3,0,8,0,0.14,17,0.2
