NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
RowPositionSerializer,2.33,0,0,1.0,6,0,0,0.0,0,0,12,0,0,54,0,0,0,0,3,0,1.0,7,1.0,,1,0
SnapshotCommandSerializer,1.0,7,0,1.0,2,0,0,1.0,0,0,7,2,1000,27,0,0,0,0,3,0,0.33,3,1.0,,1,0
TruncateResponseSerializer,1.0,6,0,1.0,2,0,0,1.0,0,0,6,2,1000,24,0,0,0,0,3,0,0.33,3,1.0,,1,0
UnfilteredDeserializer,1.78,0,0,1.0,0,0,0,0.0,1,0,0,0,0,140,0,0,10,0,9,0,0.32,16,1.0,,0.022037056348482825,False
UnfilteredValidation,4.0,3,0,1.0,2,0,0,0.0,0,0,3,2,0,72,0,0,2,0,2,0,1.0,8,1.0,,0.05396981195478212,False
VirtualTablePartitionRangeReadQuery,1.71,0,0,1.0,0,0,0,0.0,0,3,0,0,0,83,4,0,1,0,7,0,0.07,12,1.0,,0.04522661344882313,False
VirtualTableReadQuery,0.8,0,0,1.0,1,0,0,0.0,0,2,1,0,0,35,3,0,0,1,5,0,0.0,4,1.0,,0.04142300194931777,False
CellTest,1.36,0,0,1.0,13,0,0,0.0,0,0,22,0,0,371,0,0,5,0,25,0,0.11,34,1.0,,1,0
SimplePurger,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,14,0,0,1,0,2,0,1.0,2,1.0,,1,0
ClusteringBoundTest,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,20,0,0,0,0,2,0,0.0,2,1.0,,1,0
CounterCacheTest,1.0,0,0,1.0,7,0,0,0.0,0,0,12,0,0,195,0,0,2,0,7,0,0.71,7,1.0,,1,0
CounterCellTest,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,261,0,0,8,0,11,0,0.27,11,1.0,,1,0
CounterMutationTest,1.0,0,0,1.0,4,0,0,0.0,0,0,8,0,0,184,0,0,3,0,7,0,0.48,7,1.0,,1,0
DeletePartitionTest,1.67,0,0,1.0,4,0,0,0.0,0,0,6,0,0,59,0,0,2,0,3,0,0.33,5,1.0,,1,0
DigestTest,1.33,1,0,1.0,2,0,0,0.0,0,0,2,1,0,86,0,0,1,0,6,0,0.0,8,1.0,,1,0
DiskBoundaryManagerTest,1.5,2,0,1.0,4,0,0,0.0,1,1,7,1,0,85,0,0,3,0,6,0,0.53,9,1.0,,1,0
LivenessInfoTest,1.0,0,0,1.0,1,0,0,0.0,0,0,2,0,0,86,0,0,0,0,4,0,0.0,4,1.0,,1,0
MultiKeyspaceTest,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,23,0,0,0,0,1,0,1.0,1,1.0,,1,0
NameSortTest,1.83,0,0,1.0,4,0,0,0.0,0,0,6,0,0,71,0,0,2,0,6,0,0.07,11,1.0,,1,0
PartitionTest,1.43,2,0,1.0,11,0,0,0.0,0,0,18,2,0,138,0,0,3,0,7,0,0.48,10,1.0,,1,0
ReadMessageTest,0.75,0,0,1.0,2,0,0,0.0,0,0,3,0,0,196,0,0,5,0,4,0,0.5,3,1.0,,1,0
ReadResponseTest,1.07,5,0,1.0,7,0,0,0.0,0,0,8,4,0,216,0,0,2,0,15,0,0.32,16,1.0,,1,0
RecoveryManagerFlushedTest,1.17,5,0,1.0,4,0,0,0.0,0,0,7,3,0,86,0,0,4,0,6,0,0.3,7,1.0,,1,0
RecoveryManagerMissingHeaderTest,1.2,5,0,1.0,3,0,0,0.0,0,0,5,3,0,76,0,0,4,0,5,0,0.17,6,1.0,,1,0
RecoveryManagerTruncateTest,0.5,0,0,1.0,0,0,0,0.0,0,0,0,0,0,63,0,0,2,0,2,0,1.0,1,1.0,,1,0
RemoveCellTest,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,14,0,0,0,0,1,0,1.0,1,1.0,,1,0
RowCacheCQLTest,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,84,0,0,0,0,3,0,0.0,3,1.0,,1,0
RowIterationTest,1.33,2,0,1.0,1,0,0,0.0,0,1,2,1,0,50,0,0,0,0,3,0,0.0,4,1.0,,1,0
SchemaCQLHelperTest,1.1,0,0,1.0,9,0,0,0.0,0,1,12,0,0,418,0,0,1,0,10,0,0.36,11,1.0,,1,0
SinglePartitionReadCommandCQLTest,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,15,0,0,0,0,1,0,1.0,1,1.0,,1,0
TimeSortTest,3.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,68,0,0,0,0,3,0,0.0,9,1.0,,1,0
Partition,0.0,0,0,1.0,0,8,11,0.0,0,0,0,0,0,40,0,0,0,1,10,0,0.0,0,1.0,,1,0
ImmutableBTreePartition,1.0,0,0,1.0,0,1,1,0.0,0,1,0,0,0,105,0,0,2,1,9,0,0.0,9,1.0,,0.40342678754122463,False
UnfilteredPartitionIterator,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,4,0,0,0,8,1,0,1.0,0,1.0,,1,0
AbstractUnfilteredPartitionIterator,0.67,0,0,1.0,0,0,0,0.0,0,0,0,0,0,11,2,0,0,2,3,0,0.0,2,1.0,,1,0
FilteredPartition,1.33,0,1,0.0,1,0,0,0.0,0,2,1,0,0,67,1,0,0,0,3,0,0.0,4,1.0,,0.20408188123772425,False
1,1.11,0,0,1.0,2,0,0,0.0,0,1,2,0,0,44,0,0,0,0,9,0,0.03,10,1.0,,1,0
PartitionStatisticsCollector,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,8,0,0,0,1,5,0,0.0,0,1.0,,1,0
SingletonUnfilteredPartitionIterator,1.33,0,0,1.0,0,0,0,0.0,0,0,0,0,0,40,4,0,2,0,6,0,0.1,8,1.0,,0.25,False
