NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
CounterCellTest,1,0,0,1,0,0,0,0,0,0,0,0,0,261,0,0,8,0,11,0,0.27,11,1,
CounterMutationTest,1,0,0,1,4,0,0,0,0,0,8,0,0,184,0,0,3,0,7,0,0.48,7,1,
DeletePartitionTest,1.67,0,0,1,4,0,0,0,0,0,6,0,0,59,0,0,2,0,3,0,0.33,5,1,
DigestTest,1.33,1,0,1,2,0,0,0,0,0,2,1,0,86,0,0,1,0,6,0,0,8,1,
DiskBoundaryManagerTest,1.5,2,0,1,4,0,0,0,1,1,7,1,0,85,0,0,3,0,6,0,0.53,9,1,
LivenessInfoTest,1,0,0,1,1,0,0,0,0,0,2,0,0,86,0,0,0,0,4,0,0,4,1,
MultiKeyspaceTest,1,0,0,1,0,0,0,0,0,1,0,0,0,23,0,0,0,0,1,0,1,1,1,
NameSortTest,1.83,0,0,1,4,0,0,0,0,0,6,0,0,71,0,0,2,0,6,0,0.07,11,1,
PartitionTest,1.43,2,0,1,11,0,0,0,0,0,18,2,0,138,0,0,3,0,7,0,0.48,10,1,
ReadMessageTest,0.75,0,0,1,2,0,0,0,0,0,3,0,0,196,0,0,5,0,4,0,0.5,3,1,
ReadResponseTest,1.07,5,0,1,7,0,0,0,0,0,8,4,0,216,0,0,2,0,15,0,0.32,16,1,
RecoveryManagerFlushedTest,1.17,5,0,1,4,0,0,0,0,0,7,3,0,86,0,0,4,0,6,0,0.3,7,1,
RecoveryManagerMissingHeaderTest,1.2,5,0,1,3,0,0,0,0,0,5,3,0,76,0,0,4,0,5,0,0.17,6,1,
RecoveryManagerTruncateTest,0.5,0,0,1,0,0,0,0,0,0,0,0,0,63,0,0,2,0,2,0,1,1,1,
RemoveCellTest,1,0,0,1,0,0,0,0,0,1,0,0,0,14,0,0,0,0,1,0,1,1,1,
RowCacheCQLTest,1,0,0,1,0,0,0,0,0,1,0,0,0,84,0,0,0,0,3,0,0,3,1,
RowIterationTest,1.33,2,0,1,1,0,0,0,0,1,2,1,0,50,0,0,0,0,3,0,0,4,1,
SchemaCQLHelperTest,1.1,0,0,1,9,0,0,0,0,1,12,0,0,418,0,0,1,0,10,0,0.36,11,1,
SinglePartitionReadCommandCQLTest,1,0,0,1,0,0,0,0,0,1,0,0,0,15,0,0,0,0,1,0,1,1,1,
TimeSortTest,3,0,0,1,0,0,0,0,0,1,0,0,0,68,0,0,0,0,3,0,0,9,1,
Partition,0,0,0,1,0,8,11,0,0,0,0,0,0,40,0,0,0,1,10,0,0,0,1,
ImmutableBTreePartition,1,0,0,1,0,1,1,0,0,1,0,0,0,105,0,0,2,1,9,0,0,9,1,
UnfilteredPartitionIterator,0,0,0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,8,1,0,1,0,1,
AbstractUnfilteredPartitionIterator,0.67,0,0,1,0,0,0,0,0,0,0,0,0,11,2,0,0,2,3,0,0,2,1,
FilteredPartition,1.33,0,1,0,1,0,0,0,0,2,1,0,0,67,1,0,0,0,3,0,0,4,1,
1,1.11,0,0,1,2,0,0,0,0,1,2,0,0,44,0,0,0,0,9,0,0.03,10,1,
PartitionStatisticsCollector,0,0,0,1,0,1,1,0,0,0,0,0,0,8,0,0,0,1,5,0,0,0,1,
SingletonUnfilteredPartitionIterator,1.33,0,0,1,0,0,0,0,0,0,0,0,0,40,4,0,2,0,6,0,0.1,8,1,
FileDataInput,0,0,0,1,0,1,1,0,0,0,0,0,0,12,5,0,0,4,5,0,0,0,1,
RebufferingInputStream,2.22,0,0,1,2,3,17,0,0,1,5,0,0,271,0,0,1,12,23,0,0.24,51,1,
ChannelProxy,1,2,0,1,2,12,18,0,0,1,2,2,0,152,9,0,2,0,14,0,0.31,14,1,
ReaderFileProxy,0,0,0,1,0,2,5,0,0,0,0,0,0,13,0,0,0,14,4,0,0,0,1,
BufferedDataOutputStreamPlus,1.75,0,0,0.2,1,1,10,0,0,2,1,0,0,241,18,0,2,5,28,0,0.29,49,1,
BufferManagingRebufferer,0.92,4,0,1,2,0,0,0,1,0,4,2,0,108,1,0,3,3,12,0,0.2,11,1,
BufferHolder,0,0,0,1,0,1,5,0,0,0,0,0,0,20,0,0,0,6,3,0,0,0,1,
ChunkReader,0,0,0,1,0,3,4,0,0,0,0,0,0,21,3,0,0,4,3,0,0,0,1,
BytesReadTracker,0,0,0,1,0,1,3,0,0,0,0,0,0,10,0,0,0,2,2,0,0,0,1,
CheckedFunction,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,1,
