NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
NAKACK_SET_DIGEST_Test,1,1,0,1,1,0,0,0,1,0,3,1,0,62,0,0,9,0,0,3,0,1,3,1
SUPERVISOR_Test,1.43,0,0,1,1,0,0,0,0,0,1,0,0,103,0,0,2,0,0,7,0,0.19,10,1
RestartFailureDetector,1.14,0,0,1,0,0,0,0,0,1,0,0,0,21,0,0,1,0,0,7,0,0.4,8,1
SYM_ENCRYPT_Test,1,0,0,1,0,0,0,0,0,1,0,0,0,39,0,0,1,0,0,4,0,0,4,1
TCPPING_Test,1,1,0,1,1,0,0,0,0,0,1,1,0,21,0,0,1,0,0,2,0,0,2,1
MySender,1.5,0,0,1,0,0,0,0,1,1,0,0,0,31,0,0,4,0,0,2,0,1,3,1
UNICAST_DropFirstAndLastTest,1.4,0,0,1,0,0,0,0,0,0,0,0,0,129,0,0,4,0,0,10,0,0.18,14,1
UNICAST_DroppedAckTest,1.67,0,0,1,0,0,0,0,0,0,0,0,0,62,0,0,2,0,0,6,0,0.2,10,1
RouteStatusListener,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2,0,0,0,1
Route,1.36,0,0,1,1,0,0,0,2,0,2,0,0,60,0,0,5,0,0,11,0,0.16,15,1
SiteAddress,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0,1
SiteMasterPicker,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,0,1
GmsImpl,0.86,2,0,1,1,0,0,0,1,0,2,1,0,139,0,0,3,0,1,22,0,0.07,19,1
ServerGmsImpl,1.58,0,7,0.5,1,0,0,0,0,1,2,0,0,97,0,0,0,0,0,12,0,0.33,19,1
CheckFDMonitor,1.57,1,0,1,1,0,0,0,0,1,1,1,0,38,1,0,1,0,0,7,0,0.29,11,1
Rule,0.8,0,0,1,1,0,0,0,1,0,3,0,0,46,0,0,2,0,3,10,0,0,8,1
EventHandler,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,4,0,0,0,1
SampleRule,1,0,0,1,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,5,0,0,5,1
DeliveryManager,0,0,0,1,0,1,1,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,1
DeliveryProtocol,0,0,0,1,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,1
DeliveryThread,1.5,0,0,1,3,0,0,0,3,1,3,0,0,58,0,0,4,0,0,6,0,0,9,1
AddressedDNSResolverTest,1,0,0,1,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,3,0,0,3,1
DNS_PINGTest,1.2,0,0,1,0,0,0,0,0,0,0,0,0,70,0,0,2,0,0,5,0,0.3,6,1
X509Token,1.6,0,0,1,1,0,0,0,0,1,2,0,0,122,4,0,12,0,0,10,0,0.5,16,1
FileObserver,0,0,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,1
FileWatchTask,2,0,0,1,1,0,0,0,1,1,1,0,0,24,0,0,3,0,0,2,0,1,4,1
SaslClientCallbackHandler,4,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,3,0,0,2,0,1,8,1
SaslContext,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,0,0,0,1
AdditionalJmxObjects,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,1,0,1
BecomeServerTest,1.25,1,0,1,1,1,1,0,0,1,1,1,0,71,0,0,2,0,0,4,0,0.17,5,1
1,1,0,2,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,1,1,1
2,1,1,0,1,1,0,0,0,0,1,2,1,0,5,0,0,0,0,0,1,0,1,1,1
3,2,2,2,1,1,0,0,0,0,1,2,1,0,13,0,0,0,0,0,1,0,1,2,1
BecomeServerTestHelper,2.5,0,0,1,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,2,0,1,5,1
ForwardToCoordFailoverTestHelper,1.5,0,0,1,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,2,0,1,3,1
1,2,0,0,1,2,0,0,0,0,1,3,0,0,9,0,0,0,0,0,1,0,1,2,1
MessageBeforeConnectedTestHelper,1,0,0,1,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,2,0,1,2,1
SendUnicast,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,1,1
SequencerFailoverTestHelper,1.5,0,0,1,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,2,0,1,3,1
ServerTestHelper,1,0,0,1,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,4,0,0,4,1
Closer,1,0,0,1,0,0,0,0,0,1,0,0,0,20,0,0,2,0,0,2,0,1,2,1
MyReceiver,1,0,5,1,0,0,0,0,0,1,0,0,0,23,0,0,1,0,0,5,0,1,5,1
ConcurrentFlushTest,1.25,2,0,1,2,0,0,0,0,0,2,2,0,227,0,0,3,0,0,8,0,0.36,10,1
EventSequence,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2,0,0,0,1
Flusher,2,0,0,1,0,0,0,0,0,1,0,0,0,34,0,0,4,0,0,2,0,1,4,1
ThreadFactoryTest,1,2,0,1,2,0,0,0,1,0,6,1,0,54,0,0,4,0,0,3,0,1,3,1
MyRunnable,0.5,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,1,1
BARRIERTest,1.25,2,0,1,2,3,3,0,0,0,4,2,0,149,0,0,4,0,0,8,0,0.93,10,1
1,1,2,0,1,1,0,0,0,0,1,2,1,0,2,0,0,0,0,0,1,0,1,1,1
BlockingReceiver,1,0,2,1,0,0,0,0,0,1,0,0,0,16,0,0,1,0,0,2,0,1,2,1
2,1,2,0,1,1,0,0,0,0,1,2,1,0,4,0,0,0,0,0,1,0,1,1,1
3,1,2,0,1,1,0,0,0,0,1,2,1,0,4,0,0,0,0,0,1,0,1,1,1
BitsTest,1.43,0,0,1,2,0,0,0,0,0,37,0,0,402,0,0,0,0,0,46,0,0.03,66,1
ByteBufferOutputStreamTest,2,2,0,1,2,0,0,0,0,0,2,2,0,22,0,0,0,0,0,1,0,1,2,1
ClassConfiguratorTest,1,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,1,0,1,1,1
ConnectStressTest,2.8,0,0,1,1,0,0,0,0,0,1,0,0,96,0,0,4,0,0,5,0,0.4,14,1
MyThread,1,0,0,1,0,0,0,0,0,1,0,0,0,19,0,0,2,0,0,2,0,1,2,1
CustomProtocolTest,1,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,1,1,1
DiscoveryTest,1.5,1,0,1,1,0,0,0,0,0,2,1,0,57,0,0,4,0,0,6,0,0.4,9,1
DrainTest,2.5,0,0,1,0,0,1,0,3,0,0,0,0,88,0,0,6,0,0,4,0,0.5,10,1
DynamicDiscardTest,2,8,0,1,5,0,0,0,0,0,8,5,0,62,0,0,1,0,0,1,0,1,2,1
MyRequestHandler,0.5,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,1,1,1
MyMembershipListener,1,0,1,1,0,0,0,0,0,1,0,0,0,11,0,0,1,0,0,2,0,1,2,1
FalseSuspicionTest,1.6,0,0,1,0,0,0,0,0,0,0,0,0,65,0,0,3,0,0,5,0,0.3,8,1
FdMonitorTest,1,0,0,1,0,0,0,0,0,0,0,0,0,59,0,0,3,0,0,7,0,0.19,7,1
JmxTest,1.29,2,0,1,2,0,0,0,1,0,2,2,0,222,0,0,4,0,0,17,0,0.18,22,1
Child,0.9,0,0,0,0,0,0,0,0,1,0,0,0,29,9,0,4,0,0,10,0,0,9,1
Parent,1,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,5,0,1,2,0,0,2,1
LazyThreadFactoryTest,2,0,0,1,0,0,0,0,0,0,0,0,0,43,0,0,2,0,0,2,0,1,4,1
