NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
KeyExchange,1.25,3,0,1.0,1,0,0,0.0,1,1,5,1,0,58,0,0,1,0,0,8,0,0.07,10,1.0,0.10803404954641078,False
NoBundler,1.17,4,0,1.0,1,0,0,0.0,1,0,4,1,0,29,0,0,2,0,0,6,0,0.0,7,1.0,0.02909690689081494,False
CallingFormat,0.43,0,0,1.0,0,1,2,0.0,1,0,0,0,0,91,0,0,3,0,3,7,0,0.0,3,1.0,1,0
SenderSendsBundler,3.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,24,0,0,1,0,0,1,0,1.0,3,1.0,1,0
SNIFF,1.8,0,0,1.0,0,0,0,0.0,0,1,0,0,0,52,0,0,2,0,0,5,0,0.0,9,1.0,0.015968864419102682,False
TRACE,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,39,0,0,0,0,0,6,0,0.6,6,1.0,1,False
S3_PINGTest,1.0,2,0,1.0,3,0,0,0.0,1,0,8,1,0,141,0,0,1,0,0,18,0,0.24,18,1.0,1,0
ASYM_ENCRYPT_LeaveTest,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,34,0,0,2,0,1,4,0,0.0,4,1.0,1,0
ASYM_ENCRYPT_LeaveTestKeyExchange,1.0,0,1,0.2,0,0,0,0.0,0,2,0,0,0,7,1,0,0,0,0,2,0,0.0,2,1.0,1,0
ASYM_ENCRYPT_TestKeyExchange,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,20,0,0,0,0,0,4,0,0.17,4,1.0,1,0
AUTHTest,1.08,4,0,1.0,2,0,0,0.5,0,0,10,2,0,188,0,0,0,0,0,12,0,0.0,13,1.0,1,0
NAKACK_SET_DIGEST_Test,1.0,1,0,1.0,1,0,0,0.0,1,0,3,1,0,62,0,0,9,0,0,3,0,1.0,3,1.0,1,0
SUPERVISOR_Test,1.43,0,0,1.0,1,0,0,0.0,0,0,1,0,0,103,0,0,2,0,0,7,0,0.19,10,1.0,1,0
RestartFailureDetector,1.14,0,0,1.0,0,0,0,0.0,0,1,0,0,0,21,0,0,1,0,0,7,0,0.4,8,1.0,1,0
SYM_ENCRYPT_Test,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,39,0,0,1,0,0,4,0,0.0,4,1.0,1,0
TCPPING_Test,1.0,1,0,1.0,1,0,0,0.0,0,0,1,1,0,21,0,0,1,0,0,2,0,0.0,2,1.0,1,0
MySender,1.5,0,0,1.0,0,0,0,0.0,1,1,0,0,0,31,0,0,4,0,0,2,0,1.0,3,1.0,1,0
UNICAST_DropFirstAndLastTest,1.4,0,0,1.0,0,0,0,0.0,0,0,0,0,0,129,0,0,4,0,0,10,0,0.18,14,1.0,1,0
UNICAST_DroppedAckTest,1.67,0,0,1.0,0,0,0,0.0,0,0,0,0,0,62,0,0,2,0,0,6,0,0.2,10,1.0,1,0
RouteStatusListener,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,6,0,0,0,0,1,2,0,0.0,0,1.0,0.05555555555555564,False
Route,1.36,0,0,1.0,1,0,0,0.0,2,0,2,0,0,60,0,0,5,0,0,11,0,0.16,15,1.0,0.09375547840168263,False
SiteAddress,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,4,1,0,0,0,0,1,0,1.0,0,1.0,0.08808051719392596,False
SiteMasterPicker,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,20,0,0,0,0,0,2,0,0.0,0,1.0,0.20748677714096045,False
GmsImpl,0.86,2,0,1.0,1,0,0,0.0,1,0,2,1,0,139,0,0,3,0,1,22,0,0.07,19,1.0,0.14516250853026036,False
ServerGmsImpl,1.58,0,7,0.5,1,0,0,0.0,0,1,2,0,0,97,0,0,0,0,0,12,0,0.33,19,1.0,0.05361022758797207,False
CheckFDMonitor,1.57,1,0,1.0,1,0,0,0.0,0,1,1,1,0,38,1,0,1,0,0,7,0,0.29,11,1.0,1,0
Rule,0.8,0,0,1.0,1,0,0,0.0,1,0,3,0,0,46,0,0,2,0,3,10,0,0.0,8,1.0,0.5510204081632656,False
EventHandler,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,18,0,0,0,0,0,4,0,0.0,0,1.0,1,0
SampleRule,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,21,0,0,0,0,0,5,0,0.0,5,1.0,0.12003018183120083,False
DeliveryManager,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,11,0,0,0,0,0,1,0,1.0,0,1.0,0.02210896864232742,False
DeliveryProtocol,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,8,0,0,0,0,0,1,0,1.0,0,1.0,0.12500000000000025,False
DeliveryThread,1.5,0,0,1.0,3,0,0,0.0,3,1,3,0,0,58,0,0,4,0,0,6,0,0.0,9,1.0,0.08341040635729519,False
AddressedDNSResolverTest,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,55,0,0,0,0,0,3,0,0.0,3,1.0,1,0
DNS_PINGTest,1.2,0,0,1.0,0,0,0,0.0,0,0,0,0,0,70,0,0,2,0,0,5,0,0.3,6,1.0,1,0
X509Token,1.6,0,0,1.0,1,0,0,0.0,0,1,2,0,0,122,4,0,12,0,0,10,0,0.5,16,1.0,0.02465227847079106,False
FileObserver,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,3,0,0,0,0,0,1,0,1.0,0,1.0,0.24999999999999994,False
FileWatchTask,2.0,0,0,1.0,1,0,0,0.0,1,1,1,0,0,24,0,0,3,0,0,2,0,1.0,4,1.0,0.02332120751432151,False
SaslClientCallbackHandler,4.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,27,0,0,3,0,0,2,0,1.0,8,1.0,0.022277997146376474,False
SaslContext,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,13,0,0,0,0,0,6,0,0.0,0,1.0,1,0
AdditionalJmxObjects,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,3,0,0,0,0,1,1,0,1.0,0,1.0,1,0
BecomeServerTest,1.25,1,0,1.0,1,1,1,0.0,0,1,1,1,0,71,0,0,2,0,0,4,0,0.17,5,1.0,1,0
1,1.0,0,2,1.0,0,0,0,0.0,0,1,0,0,0,5,0,0,0,0,0,1,0,1.0,1,1.0,1,0
2,1.0,1,0,1.0,1,0,0,0.0,0,1,2,1,0,5,0,0,0,0,0,1,0,1.0,1,1.0,1,0
3,2.0,2,2,1.0,1,0,0,0.0,0,1,2,1,0,13,0,0,0,0,0,1,0,1.0,2,1.0,1,0
BecomeServerTestHelper,2.5,0,0,1.0,0,0,0,0.0,0,1,0,0,0,20,0,0,0,0,0,2,0,1.0,5,1.0,1,0
ForwardToCoordFailoverTestHelper,1.5,0,0,1.0,0,0,0,0.0,0,1,0,0,0,25,0,0,0,0,0,2,0,1.0,3,1.0,1,0
1,2.0,0,0,1.0,2,0,0,0.0,0,1,3,0,0,9,0,0,0,0,0,1,0,1.0,2,1.0,1,0
MessageBeforeConnectedTestHelper,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,25,0,0,0,0,0,2,0,1.0,2,1.0,1,0
SendUnicast,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,5,0,0,0,0,0,1,0,1.0,1,1.0,1,0
SequencerFailoverTestHelper,1.5,0,0,1.0,0,0,0,0.0,0,1,0,0,0,25,0,0,0,0,0,2,0,1.0,3,1.0,1,0
ServerTestHelper,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,17,0,0,0,0,0,4,0,0.0,4,1.0,1,0
Closer,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,20,0,0,2,0,0,2,0,1.0,2,1.0,1,0
MyReceiver,1.0,0,5,1.0,0,0,0,0.0,0,1,0,0,0,23,0,0,1,0,0,5,0,1.0,5,1.0,0.1594443964207955,False
ConcurrentFlushTest,1.25,2,0,1.0,2,0,0,0.0,0,0,2,2,0,227,0,0,3,0,0,8,0,0.36,10,1.0,1,0
EventSequence,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,6,0,0,0,0,1,2,0,0.0,0,1.0,1,0
Flusher,2.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,34,0,0,4,0,0,2,0,1.0,4,1.0,1,0
ThreadFactoryTest,1.0,2,0,1.0,2,0,0,0.0,1,0,6,1,0,54,0,0,4,0,0,3,0,1.0,3,1.0,1,0
MyRunnable,0.5,0,0,1.0,0,0,0,0.0,0,0,0,0,0,3,0,0,0,0,0,2,0,1.0,1,1.0,1,0
BARRIERTest,1.25,2,0,1.0,2,3,3,0.0,0,0,4,2,0,149,0,0,4,0,0,8,0,0.93,10,1.0,1,0
1,1.0,2,0,1.0,1,0,0,0.0,0,1,2,1,0,2,0,0,0,0,0,1,0,1.0,1,1.0,1,0
BlockingReceiver,1.0,0,2,1.0,0,0,0,0.0,0,1,0,0,0,16,0,0,1,0,0,2,0,1.0,2,1.0,1,0
2,1.0,2,0,1.0,1,0,0,0.0,0,1,2,1,0,4,0,0,0,0,0,1,0,1.0,1,1.0,1,0
3,1.0,2,0,1.0,1,0,0,0.0,0,1,2,1,0,4,0,0,0,0,0,1,0,1.0,1,1.0,1,0
BitsTest,1.43,0,0,1.0,2,0,0,0.0,0,0,37,0,0,402,0,0,0,0,0,46,0,0.03,66,1.0,1,0
ByteBufferOutputStreamTest,2.0,2,0,1.0,2,0,0,0.0,0,0,2,2,0,22,0,0,0,0,0,1,0,1.0,2,1.0,1,0
ClassConfiguratorTest,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,21,0,0,1,0,0,1,0,1.0,1,1.0,1,0
ConnectStressTest,2.8,0,0,1.0,1,0,0,0.0,0,0,1,0,0,96,0,0,4,0,0,5,0,0.4,14,1.0,1,0
MyThread,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,19,0,0,2,0,0,2,0,1.0,2,1.0,1,0
CustomProtocolTest,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,18,0,0,0,0,0,1,0,1.0,1,1.0,1,0
DiscoveryTest,1.5,1,0,1.0,1,0,0,0.0,0,0,2,1,0,57,0,0,4,0,0,6,0,0.4,9,1.0,1,0
DrainTest,2.5,0,0,1.0,0,0,1,0.0,3,0,0,0,0,88,0,0,6,0,0,4,0,0.5,10,1.0,1,0
DynamicDiscardTest,2.0,8,0,1.0,5,0,0,0.0,0,0,8,5,0,62,0,0,1,0,0,1,0,1.0,2,1.0,1,0
MyRequestHandler,0.5,0,0,1.0,0,0,0,0.0,0,0,0,0,0,7,0,0,0,0,0,2,0,1.0,1,1.0,1,0
MyMembershipListener,1.0,0,1,1.0,0,0,0,0.0,0,1,0,0,0,11,0,0,1,0,0,2,0,1.0,2,1.0,1,0
FalseSuspicionTest,1.6,0,0,1.0,0,0,0,0.0,0,0,0,0,0,65,0,0,3,0,0,5,0,0.3,8,1.0,1,0
FdMonitorTest,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,59,0,0,3,0,0,7,0,0.19,7,1.0,1,0
JmxTest,1.29,2,0,1.0,2,0,0,0.0,1,0,2,2,0,222,0,0,4,0,0,17,0,0.18,22,1.0,1,0
Child,0.9,0,0,0.0,0,0,0,0.0,0,1,0,0,0,29,9,0,4,0,0,10,0,0.0,9,1.0,1,0
Parent,1.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,21,0,0,5,0,1,2,0,0.0,2,1.0,1,0
LazyThreadFactoryTest,2.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,43,0,0,2,0,0,2,0,1.0,4,1.0,1,0
LeaveTest,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,23,0,0,0,0,0,3,0,0.0,3,1.0,1,0
MergeTest5,1.57,0,0,1.0,0,0,0,0.0,0,0,0,0,0,98,0,0,3,0,0,7,0,0.14,11,1.0,1,0
MessageBatchDrainTest,1.75,0,0,1.0,0,0,1,0.0,0,0,0,0,0,141,0,0,10,0,0,8,0,0.36,14,1.0,1,0
MessageBatchDrainTest2,1.78,0,0,1.0,0,0,1,0.0,0,0,0,0,0,157,0,0,10,0,0,9,0,0.39,16,1.0,1,0
MessageDispatcherRSVPTest,1.75,0,0,1.0,7,0,0,0.0,1,0,12,0,0,169,0,0,4,0,0,8,0,1.0,14,1.0,1,0
MyDiagnosticsHandler,1.0,0,0,1.0,0,1,2,0.0,0,1,0,0,0,10,0,0,0,0,0,4,0,0.0,4,1.0,1,0
MessageSizeTest,1.67,3,0,1.0,3,0,0,0.0,0,0,4,2,0,95,0,0,6,0,0,6,0,0.07,10,1.0,1,0
ProgrammaticApiTest,1.0,2,0,1.0,2,0,0,0.0,0,0,2,2,0,59,0,0,1,0,0,3,0,0.33,3,1.0,1,0
PropertyConvertersTest,1.8,1,0,1.0,1,0,0,0.0,0,0,1,1,0,62,0,0,0,0,0,5,0,0.0,9,1.0,1,0
ReceiverAdapterTest,1.67,0,0,1.0,1,0,0,0.0,0,0,1,0,0,43,0,0,0,0,0,3,0,0.0,5,1.0,1,0
ResponsesTest,2.58,0,0,1.0,0,0,0,0.0,3,0,0,0,0,180,0,0,4,0,0,12,0,0.56,31,1.0,1,0
RSVPTest,2.0,6,0,1.0,5,0,0,0.0,1,0,6,5,0,223,0,0,4,0,0,8,0,0.75,16,1.0,1,0
