NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
Copy,2.5,0,2,1,6,0,0,0,1,2,16,0,0,93,0,0,1,0,0,4,0,0.5,10,1
CopyOf,3.25,1,2,1,8,0,0,0,1,2,15,1,0,83,0,0,1,0,0,4,0,1,13,1
CurrentCall,1,0,1,0,1,0,0,0,0,3,1,0,0,9,0,0,0,0,0,2,0,1,2,1
DecimalFormatting,6,2,2,1,8,1,1,0.5,1,2,15,2,0,175,1,0,3,0,0,4,0,0.5,24,1
DocumentCall,5.33,1,0,0.11,6,0,0,0,2,3,12,1,0,110,0,0,3,0,0,3,0,1,16,1
ElementAvailableCall,1.6,2,2,0.05,5,0,0,0,0,3,7,1,0,52,1,0,0,0,0,5,0,0,8,1
LiteralExpr,1.12,0,2,0.33,1,5,5,0,0,2,1,0,0,51,0,0,2,2,0,8,0,0.2,9,1
Fallback,1.6,0,2,1,1,1,3,0,0,2,1,0,0,47,2,0,1,0,0,5,0,0.6,8,1
FilterExpr,2.43,1,0,0.33,7,0,0,0,1,2,12,1,0,173,1,0,2,0,0,7,0,0.93,17,1
FloorCall,1,0,0,0.05,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,2,0,1,2,1
ForEach,4.2,1,2,1,10,0,0,0.5,2,2,25,1,0,138,1,0,2,0,0,5,0,0.6,21,1
Variable,5,1,0,0.58,9,1,1,0,0,3,16,1,0,148,2,0,0,0,0,5,0,0.6,25,1
FormatNumberCall,3.67,1,0,0.11,7,0,0,0,2,3,8,1,0,63,0,0,4,0,0,3,0,1,11,1
FunctionAvailableCall,4,8,2,0.05,7,0,0,0,1,3,10,6,0,143,1,0,4,0,0,7,0,0.13,28,1
GenerateIdCall,1.5,0,0,0.11,1,0,0,0,0,3,1,0,0,18,0,0,0,0,0,2,0,1,3,1
If,2.5,0,2,1,6,0,0,0,1,2,12,0,0,72,0,0,2,0,0,4,0,1,10,1
SourceLoader,0,0,0,1,0,2,2,0,0,0,0,0,0,14,0,0,0,0,2,1,0,1,0,1
