NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
PIFData,3.5,1,0,1,1,1,1,0,0,1,1,1,0,70,0,0,3,1,0,2,0,1,7,0
Compression,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0
TarHeaderField,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sqlStmt,1,0,0,1,0,0,0,2,0,0,0,0,0,32,0,0,5,0,0,3,5,0,3,0
TestRuntimeException,1,0,0,1,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,3,0,0,3,0
ParsedSection,1.7,0,0,1,1,1,2,2,0,0,4,0,0,219,0,0,6,4,11,10,1,0,17,0
ResultSetParsedSection,5.33,0,2,0.36,3,0,0,0.5,0,1,9,0,0,226,0,0,3,0,0,6,0,0.1,32,0
ResultSetOutputParsedSection,2,0,1,0.21,0,0,0,0,0,1,0,0,0,68,0,0,2,1,0,4,0,0,8,0
UpdateParsedSection,1.25,0,1,0.29,0,0,0,0,0,1,0,0,0,50,0,0,1,0,0,4,1,0,5,0
WaitSection,3.67,0,1,0.21,3,0,0,2,1,1,4,0,0,96,0,0,4,0,0,3,3,0,11,0
ProceedSection,2.67,0,1,0.21,3,0,0,0,1,1,4,0,0,75,0,0,3,0,0,3,2,0,8,0
SilentParsedSection,1,0,1,0.21,0,0,0,0,0,1,0,0,0,22,0,0,0,1,0,3,0,0,3,0
CountParsedSection,1.75,0,1,0.29,0,0,0,0,0,1,0,0,0,68,0,0,1,0,0,4,0,0,7,0
ExceptionParsedSection,2.33,0,1,0.29,0,0,0,0,0,1,0,0,0,46,0,0,2,0,0,3,0,0,7,0
BlankParsedSection,1,0,0,0.07,0,0,0,0,0,1,0,0,0,13,0,0,0,1,0,2,0,1,2,0
IgnoreParsedSection,1,0,0,0.14,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,2,0,1,2,0
DisplaySection,3,0,0,0.14,2,0,0,0,0,1,2,0,0,34,0,0,0,0,0,2,0,1,6,0
ResultConstants,0,0,0,1,0,0,0,0,0,0,0,0,0,686,0,0,72,0,0,0,0,0,0,0
LobResultTypes,0,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,21,0,0,0,0,0,0,0
GrantConstants,0,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,9,0,0,0,0,0,0,0
TextFileSettings,5.38,2,0,1,5,2,2,3,0,0,26,2,0,330,0,0,27,3,0,8,20,0.05,43,0
DataFileDefrag,5,10,0,1,19,2,2,2.5,4,0,39,5,1,166,0,0,7,1,0,4,7,0.33,20,0
BlockAccessor,2.42,12,0,1,8,1,10,2.5,2,0,23,4,1001,184,0,0,6,0,0,12,6,0.49,29,0
LOBS,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0
LOB_IDS,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0
GET_LOB_PART,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0
DIVIDE_BLOCK,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0
DELETE_BLOCKS,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0
ALLOC_BLOCKS,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0
UPDATE_USAGE,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0
UPDATE_LENGTH,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0
ALLOC_PART,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0
BaseException,1.5,0,0,1,0,1,1,2,1,2,0,0,0,56,0,0,2,3,8,4,0,0,6,0
StringCreator,0.43,0,0,1,4,1,2,0,0,0,4,0,0,25,0,2,0,0,2,7,0,0,3,0
StringCreatorBytes,1,1,0,1,1,0,0,0,1,1,6,1,0,34,0,0,2,0,0,7,0,1,7,0
StringCreatorChars,1,1,0,1,1,0,0,0,1,1,6,1,0,35,0,0,1,0,0,7,0,1,7,0
RecoverableOdbcFailure,1,0,0,1,0,1,2,2,1,2,0,0,0,48,0,0,3,3,0,7,0,0,7,0
AclFormatException,1,0,0,1,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,1,0,0,1,0
InternalException,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ServerConstants,0,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,24,0,1,0,0,0,0,0
CleanExit,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ClientFailure,1,0,0,1,0,1,1,0,0,2,0,0,0,15,0,0,1,1,0,2,0,1,2,0
ValuePoolHashMap,5.62,3,0,0.06,2,1,6,0,0,1,5,2,0,338,0,0,1,0,0,8,1,1,45,0
DatabaseInformationFull,7.9,100,0,0.54,57,0,0,30,1,2,283,31,5111,8952,0,0,1,0,0,80,0,0.82,632,0
DITableInfo,1.83,12,0,1,6,2,4,2,1,0,12,6,1000,238,0,0,13,2,0,12,5,0.38,22,0
ErrorCode,0,0,0,1,0,0,0,0,0,0,0,0,0,654,0,0,457,0,0,0,0,0,0,0
ConstraintCore,0.5,0,0,1,0,1,1,2,3,0,0,0,0,46,0,0,16,0,0,2,16,1,1,0
ParserDQL,6.96,62,0,0.4,63,3,4,20.5,3,1,320,24,4111,7163,0,0,3,0,5,154,0,0.14,1072,0
DatabaseType,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HsqlRuntimeMemoryError,1,0,0,1,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,1,0,0,1,0
jdbcDriver,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OpTypes,0,0,0,1,0,0,0,0,0,0,0,0,0,97,0,0,94,0,0,0,0,0,0,0
Token,3.89,5,0,1,8,4,17,2.5,1,0,15,4,1,273,0,0,25,3,0,9,25,0,35,0
ParserDDL,7.59,29,0,1,47,2,3,12.5,2,5,214,17,2111,3336,0,0,3,0,1,56,0,0.55,425,0
ParserRoutine,7.46,43,0,1,55,1,1,7.5,1,4,216,16,1111,2518,0,0,1,0,2,48,1,0.32,358,0
ParserDML,11.44,33,0,0.83,42,0,0,7.5,0,2,134,15,3111,1440,0,0,0,0,4,16,0,0.56,183,0
RangeVariableResolver,11.29,20,0,1,24,2,4,9,11,0,95,4,111,1509,0,0,27,0,0,24,27,0.25,271,0
ParserTable,15.79,45,0,1,45,0,0,11.5,0,3,185,21,3111,1938,0,0,0,0,3,19,0,0.52,300,0
RangeVariableConditions,6.75,5,0,1,8,5,15,0.5,3,0,21,2,100,448,0,0,17,0,0,12,17,0.53,81,0
RowActionBase,1,0,0,1,0,0,0,2,2,0,0,0,0,47,0,0,17,1,1,3,9,1,3,0
ConstraintTypes,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0
ReferentialAction,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0
Deferable,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0
ViewCheckModes,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0
ParameterModes,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0
Nullability,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0
Server,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
StatementCursor,3,6,2,1,4,0,0,1,1,3,10,2,10,58,0,0,1,0,0,3,0,0,9,0
StatementInsert,7,15,1,1,21,0,0,0.5,0,3,46,9,1001,275,0,0,6,0,0,5,2,1,35,0
StatementTypes,0,0,0,1,0,0,0,0,0,0,0,0,0,273,0,0,245,0,0,0,0,0,0,0
TriggerData,1,0,0,1,1,0,0,2,2,0,1,0,0,13,0,0,3,0,0,1,3,0,1,0
TypeInvariants,0,0,0,1,0,0,0,0,1,0,0,0,0,61,0,0,7,0,0,0,0,0,0,0
ConnectionTypesSample,1,0,0,1,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,1,0,0,1,0
DatabaseManagerSample,0,0,0,1,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0
