NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
User,1.54,3,1,0.67,8,7,12,0.0,1,1,11,3,0,191,8,0,4,3,0,13,2,0.11,20,0.64,0.06301392113938473,False
RowStoreAVLMemory,1.5,5,4,1.0,9,0,0,0.0,1,1,15,4,0,174,1,0,5,5,0,24,5,0.04,36,0.64,0.10475089791203848,False
BaseHashIterator,3.42,4,0,1.0,1,3,8,0.5,0,0,8,1,0,160,3,0,4,1,0,12,4,0.13,41,0.64,1,0
SimpleStore,1.02,0,0,1.0,5,0,0,0.0,2,0,8,0,0,167,0,0,3,18,1,50,0,0.0,51,0.64,0.008864582291642732,False
BlockObjectStore,1.22,10,3,0.67,5,2,6,0.0,2,1,11,4,0,91,0,0,4,0,0,9,4,0.54,11,0.64,0.4179598668193615,False
TableSpaceManagerSimple,1.1,4,0,1.0,3,0,0,0.0,1,0,7,1,0,64,0,0,2,2,0,10,2,0.0,11,0.64,0.25,False
ExpressionColumnAccessor,1.17,4,22,0.17,4,0,0,0.0,1,1,5,3,0,127,0,0,1,4,0,23,1,0.06,27,0.64,0.038729706346379005,False
RangeIteratorJoined,1.67,0,3,1.0,1,0,0,0.0,2,1,1,0,0,78,0,0,3,1,0,9,3,0.21,15,0.64,1,0
JDBCArray,1.5,4,0,1.0,10,2,2,0.0,3,0,20,3,0,499,0,0,6,1,0,18,6,0.17,27,0.63,0.0748393846489534,False
RowSetNavigatorClient,1.85,2,3,1.0,6,5,6,0.0,1,1,11,1,0,235,0,0,4,3,0,20,3,0.12,37,0.63,0.045354461031044326,False
ClientConnection,1.6,13,0,1.0,17,0,0,3.0,7,0,60,2,110,753,2,0,36,6,1,52,13,0.16,83,0.63,0.014276925782135822,False
BlobType,2.45,3,19,1.0,11,0,0,2.5,0,2,22,3,100,270,0,0,3,6,0,22,0,0.05,54,0.62,0.06206761148142611,False
TestSql,4.31,0,0,0.29,0,0,0,4.0,0,3,0,0,0,885,10,0,6,0,0,13,6,0.85,56,0.62,0.032686711470274035,False
BitMapCachedObject,1.29,1,0,1.0,3,0,0,0.0,1,1,7,1,0,56,0,0,2,1,0,7,1,0.4,9,0.62,1.0799999999999998,False
DataIterator,1.38,0,0,1.0,0,0,0,0.0,0,0,0,0,0,50,0,0,1,2,0,8,1,0.0,11,0.62,1,0
TriggerDefSQL,1.44,6,8,0.0,6,0,0,0.0,1,1,12,4,0,86,0,0,4,2,0,9,1,0.21,13,0.62,0.02858723382006297,False
RowStoreAVL,1.89,6,0,1.0,18,1,1,4.5,3,0,47,4,110,657,3,0,16,11,6,57,15,0.02,108,0.62,0.046108539515382435,False
JDBCXAResource,2.2,2,0,1.0,4,1,2,0.0,2,0,11,2,0,402,0,0,10,4,0,20,7,0.15,44,0.62,0.08890785137400434,False
OtherType,1.57,1,3,1.0,4,0,0,0.0,1,1,7,1,0,148,2,0,1,7,0,21,0,0.0,33,0.62,0.2222222222222223,False
Collation,1.86,5,0,1.0,12,13,25,2.0,4,0,21,3,1100,508,21,0,16,7,0,35,3,0.02,65,0.62,0.1551451285177687,False
NumberSequence,2.36,3,0,1.0,8,15,30,2.5,2,0,16,2,100,827,13,0,16,9,0,50,0,0.2,118,0.62,0.29905934535426093,False
LongKeyHashMap,1.53,0,0,0.13,2,9,61,0.0,2,1,4,0,0,245,8,0,5,2,0,15,5,0.17,23,0.61,0.09876543209876548,False
RangeIteratorBase,1.38,1,0,1.0,4,0,0,0.0,4,0,7,1,0,82,1,0,6,1,3,13,6,0.33,18,0.61,1,0
RowAVLDiskData,1.14,2,2,1.0,6,1,3,0.0,1,2,12,1,0,174,0,0,7,5,0,21,4,0.0,24,0.61,0.08781450128784044,False
SessionData,3.36,23,0,1.0,30,15,33,4.5,6,0,101,11,110,632,0,0,10,1,0,28,8,0.22,94,0.61,0.09288121847054955,False
JDBCDriver,2.0,0,0,1.0,5,0,0,0.0,1,0,13,0,0,425,0,0,2,2,1,9,1,0.04,18,0.6,0.2814807055052868,False
JavaObjectDataInternal,1.33,0,3,1.0,3,0,0,0.0,0,1,4,0,0,69,0,0,1,1,0,6,1,0.0,8,0.6,0.024837402261786573,False
TestTypeConversion,1.2,0,0,0.18,0,0,0,0.0,0,3,0,0,0,159,3,0,2,0,0,5,2,1.0,6,0.6,0.14816354079380503,False
TestViewAsterisks,1.7,0,0,0.29,1,0,0,0.0,0,3,2,0,0,519,2,0,2,0,0,20,2,0.04,34,0.6,0.17824080859404826,False
TriggerClass,1.0,0,0,1.0,2,0,0,0.0,1,0,2,0,0,20,2,0,2,0,0,3,2,0.0,3,0.6,0.1663089232455576,False
ResultLob,1.94,1,1,1.0,7,5,26,2.0,4,1,18,1,0,667,23,0,8,8,0,36,8,0.01,70,0.6,2.605879526146764,False
RangeGroup,0.0,0,0,1.0,0,6,14,0.0,1,0,0,0,0,75,0,0,2,0,6,3,0,0.0,0,0.6,1,0
SetFunctionValueUser,0.8,0,0,1.0,0,0,0,0.0,1,0,0,0,0,16,0,0,1,1,0,5,1,0.0,4,0.6,1,0
TableDerived,2.68,12,16,0.25,24,14,33,2.5,5,2,47,9,101,421,6,0,9,4,1,31,8,0.08,83,0.59,0.556517395328527,False
OrderedLongKeyHashMap,1.28,0,0,0.13,0,1,8,0.0,2,1,0,0,0,203,7,0,2,5,0,18,2,0.0,23,0.59,0.6925210579686821,False
RowAVLDisk,1.33,2,4,1.0,8,2,10,0.0,0,2,17,1,0,298,1,0,11,5,2,27,6,0.08,36,0.59,0.05063717706275508,False
FileAccess,0.0,0,0,1.0,0,11,32,0.0,0,0,0,0,0,27,0,0,5,0,2,7,0,0.0,0,0.58,0.06760986902094139,False
LobStoreMem,1.89,0,0,1.0,1,0,0,0.0,1,0,6,0,0,119,0,0,4,1,0,9,4,0.54,17,0.58,0.5000000000000001,False
LobStoreRAFile,2.1,3,0,1.0,8,0,0,0.5,2,0,20,2,0,148,0,0,4,1,0,10,4,0.75,21,0.58,0.03382722952194577,False
InputStreamShadow,2.33,3,0,1.0,3,0,0,0.5,0,0,4,2,1000,115,0,0,4,1,0,9,4,0.18,21,0.58,1,0
ColumnSchema,1.77,5,8,0.33,14,38,120,2.0,5,1,28,4,101,385,9,0,10,18,0,44,0,0.04,78,0.58,0.5842534100563197,False
StatementHandler,2.27,0,2,1.0,6,2,4,0.0,3,1,13,0,0,188,7,0,13,0,0,15,1,0.27,34,0.58,0.10552566934558873,False
ClobType,2.18,3,14,1.0,9,0,0,0.0,0,2,16,3,0,181,0,0,3,5,0,17,0,0.02,37,0.58,0.01731902349853806,False
IndexAVL,4.18,16,0,1.0,21,3,3,9.5,3,0,61,7,111,1904,2,0,20,18,1,68,6,0.04,284,0.57,0.36247333870333864,False
IntKeyHashMapConcurrent,1.45,0,0,0.11,0,0,0,0.0,2,1,0,0,0,196,6,0,5,1,0,11,5,0.19,16,0.57,0.0312500000000005,False
ExpressionTable,3.55,4,6,0.67,13,0,0,0.0,0,1,25,4,0,222,0,0,2,1,0,11,2,0.27,39,0.57,0.10557863390943127,False
SetFunctionValueAggregate,10.55,11,0,1.0,18,0,0,3.5,3,0,52,6,1101,646,0,0,23,0,0,11,2,0.09,116,0.57,0.010023741544386292,False
GridSwing,1.86,0,0,1.0,0,2,11,0.0,0,1,0,0,0,183,0,0,3,4,0,14,3,0.13,26,0.56,0.05795133741650319,False
CompileContext,2.47,4,0,1.0,17,13,42,2.0,7,0,39,4,0,480,0,0,19,3,0,34,8,0.11,84,0.56,1,0
DataFileCache,2.51,18,0,1.0,32,18,74,6.5,8,0,122,7,2111,1622,0,0,43,4,2,73,7,0.26,183,0.56,0.02525202345431833,False
JavaSystem,2.6,0,0,1.0,0,0,0,0.0,0,0,0,0,0,102,0,0,4,0,0,5,2,0.0,13,0.56,0.01618928216016233,False
Cache,3.9,3,0,0.13,11,2,19,5.0,4,1,32,3,0,521,4,0,15,1,0,20,4,0.14,78,0.56,0.007454004572545924,True
Type,1.95,6,0,1.0,14,71,222,2.0,17,0,28,2,100,1211,85,7,68,9,15,105,6,0.03,205,0.55,0.39875012539413696,False
NodeAVL,1.14,1,0,1.0,2,8,32,0.0,2,0,2,1,0,207,4,0,7,18,2,44,2,0.0,50,0.55,0.2500000000000001,False
InputStreamWrapper,1.89,0,0,1.0,0,1,1,0.0,0,0,0,0,0,82,0,0,3,2,0,9,3,0.36,17,0.55,0.023554997371557588,False
MultiValueKeyIterator,1.38,0,0,1.0,1,0,0,0.0,0,0,2,0,0,54,0,0,5,0,0,8,5,0.0,11,0.55,1,0
FunctionCustom,48.88,27,0,0.06,38,0,0,4.5,1,2,181,7,2110,4461,3,0,131,0,0,17,0,0.18,831,0.54,0.011837368390466703,False
PreprocessorAntTask,1.29,0,0,1.0,3,0,0,0.0,0,3,7,0,0,107,0,0,8,7,0,17,0,0.12,22,0.53,0.14285973235021862,False
NullType,1.0,0,0,1.0,2,0,0,0.0,1,1,2,0,0,73,1,0,1,7,0,17,0,0.0,17,0.53,0.25,False
Row,1.15,1,0,1.0,4,29,70,0.0,3,0,4,1,0,163,4,0,4,13,5,33,3,0.0,38,0.53,0.09345387786808544,False
View,1.95,7,5,1.0,10,6,9,0.0,2,3,25,5,0,244,0,0,8,6,0,19,3,0.04,37,0.53,0.04758464964293237,False
RowAction,5.52,4,0,1.0,8,9,21,3.0,4,1,12,2,0,942,11,0,9,4,0,33,6,0.17,182,0.52,0.2008595638080823,False
LockFile,2.48,19,0,1.0,15,2,2,2.0,7,0,21,13,1100,1989,0,0,17,1,0,29,0,0.13,72,0.52,0.693556199373203,True
RAFileInJar,2.37,0,0,1.0,1,0,0,0.0,1,0,5,0,0,236,0,0,9,3,0,19,9,0.1,45,0.52,0.03461111831430596,True
RangeVariable,3.66,17,0,1.0,29,11,52,3.5,11,0,103,8,110,2189,0,0,38,3,1,53,28,0.16,194,0.51,0.4086429977065378,True
SqlToolSprayer,19.0,0,0,1.0,1,0,0,0.5,0,0,1,0,0,122,0,0,2,0,0,1,0,1.0,19,0.5,1,0
RowInputBinaryDecode,1.5,0,0,0.0,1,0,0,0.0,1,4,1,0,0,25,0,0,1,0,0,2,1,1.0,3,0.5,0.18773946360153262,False
RowInputTextQuoted,6.33,0,0,0.19,2,0,0,0.5,0,4,2,0,0,119,0,0,5,0,0,3,1,0.0,19,0.5,0.07292323977754779,False
ConnectionDialogCommon,3.83,1,0,1.0,1,0,0,0.5,3,0,1,1,0,275,0,0,6,0,0,6,1,0.2,23,0.5,0.03292443092632955,False
Traceable,0.0,0,0,1.0,0,8,14,0.0,0,0,0,0,0,6,0,0,1,0,1,1,0,1.0,0,0.5,1,0
Document,3.06,0,0,1.0,0,1,6,0.0,0,0,0,0,0,235,0,0,1,0,0,16,1,0.23,49,0.5,0.054716140743673924,False
JaasAuthBean,2.43,0,0,1.0,3,0,0,0.5,1,0,4,0,0,231,2,0,5,3,0,7,0,0.0,17,0.5,0.10678507875851545,False
JDBCSavepoint,2.0,0,0,1.0,2,0,0,0.0,1,0,3,0,0,69,0,0,3,0,0,5,3,0.0,10,0.5,0.054450829342668476,False
JDBCXAConnection,1.5,0,1,0.25,2,0,0,0.0,1,1,2,0,0,41,0,0,1,1,0,4,1,0.0,6,0.5,0.12500000000000003,False
BasicTextJdkLogFormatter,1.67,0,0,1.0,0,0,0,0.0,0,1,0,0,0,32,0,0,3,0,0,3,0,1.0,5,0.5,0.028003606826840378,False
FileArchiver,8.67,0,0,1.0,3,0,0,1.0,0,0,7,0,0,189,0,0,4,0,0,3,0,0.0,26,0.5,0.0215296139614999,False
ReaderInputStream,2.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,32,0,0,3,0,0,2,1,1.0,4,0.5,0.25,False
PIFGenerator,2.38,0,0,1.0,1,1,1,0.0,0,2,1,0,0,137,0,0,3,1,0,8,3,0.0,19,0.5,0.016897454930100142,False
MemoryWatcherThread,1.75,0,0,1.0,0,1,2,0.0,0,1,0,0,0,48,0,0,3,0,0,4,3,0.0,7,0.5,1,0
TestCascade,1.29,0,0,1.0,0,0,0,0.0,0,2,0,0,0,127,0,0,1,0,0,7,1,0.07,9,0.5,0.08861558623868958,False
TestHTTPKeepAlive,1.2,1,0,0.29,1,0,0,0.0,0,3,1,1,0,135,2,0,4,0,0,5,2,0.67,6,0.5,0.28444444444444444,False
