NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
PSVIProvider,0,0,0,1,0,1,1,0,0,0,0,0,0,60,0,0,0,0,8,3,0,0,0,1
ElementPSVI,0,0,0,1,0,18,36,0,0,0,0,0,0,25,4,0,0,0,2,4,0,0,0,1
XSObjectList,0,0,0,1,0,29,102,0,0,0,0,0,0,19,0,0,0,0,1,2,0,0,0,1
AttributePSVI,0,0,0,1,0,1,1,0,0,0,0,0,0,8,1,0,0,0,2,1,0,1,0,1
StringList,0,0,0,1,0,8,16,0,0,0,0,0,0,29,0,0,0,0,2,3,0,0,0,1
XSModel,0,0,0,1,0,12,81,0,0,0,0,0,0,151,0,0,0,0,1,13,0,0,0,1
XSNamespaceItemList,0,0,0,1,0,1,1,0,0,0,0,0,0,19,0,0,0,0,1,2,0,0,0,1
XSNamespaceItem,0,0,0,1,0,1,3,0,0,0,0,0,0,93,0,0,0,0,3,11,0,0,0,1
XSNamedMap,0,0,0,1,0,5,11,0,0,0,0,0,0,38,0,0,0,0,2,3,0,0,0,1
XSFacet,0,0,0,1,0,3,18,0,0,0,0,0,0,46,7,0,0,0,1,7,0,0,0,1
XSMultiValueFacet,0,0,0,1,0,2,2,0,0,0,0,0,0,23,4,0,0,0,1,4,0,0,0,1
XSAttributeUse,0,0,0,1,0,4,10,0,0,0,0,0,0,86,9,0,0,0,1,9,0,0,0,1
XSElementDeclaration,0,0,0,1,0,8,29,0,0,0,0,0,0,167,19,0,0,0,1,19,0,0,0,1
XSAttributeDeclaration,0,0,0,1,0,7,18,0,0,0,0,0,0,99,11,0,0,0,2,11,0,0,0,1
XSAttributeGroupDefinition,0,0,0,1,0,4,12,0,0,0,0,0,0,23,4,0,0,0,1,4,0,0,0,1
XSModelGroupDefinition,0,0,0,1,0,5,15,0,0,0,0,0,0,17,3,0,0,0,1,3,0,0,0,1
XSNotationDeclaration,0,0,0,1,0,2,6,0,0,0,0,0,0,24,4,0,0,0,1,4,0,0,0,1
XSParticle,0,0,0,1,0,5,20,0,0,0,0,0,0,30,5,0,0,0,1,5,0,0,0,1
XSObject,0,0,0,1,0,29,78,0,0,0,0,0,0,32,0,0,0,0,38,4,0,0,0,1
XSValue,0,0,0,1,0,1,2,0,0,0,0,0,0,75,0,0,0,0,1,7,0,0,0,1
XSImplementation,0,0,0,1,0,11,11,0,0,0,0,0,0,38,0,0,0,0,1,4,0,0,0,1
XSLoader,0,0,0,1,0,11,89,0,0,0,0,0,0,64,0,0,0,0,2,5,0,0,0,1
